region,iso3,country,year,forest_area_kha,variable_type
North and Central America,ABW,Aruba,1990,0.49,forest_area
Asia,AFG,Afghanistan,1990,1209.44,forest_area
Africa,AGO,Angola,1990,77533.29,forest_area
North and Central America,AIA,Anguilla,1990,5.5,forest_area
Europe,ALB,Albania,1990,788.8,forest_area
Europe,AND,Andorra,1990,17.69,forest_area
Asia,ARE,United Arab Emirates,1990,314.77,forest_area
South America,ARG,Argentina,1990,55989.62,forest_area
Asia,ARM,Armenia,1990,334.73,forest_area
Oceania,ASM,American Samoa,1990,18.07,forest_area
North and Central America,ATG,Antigua and Barbuda,1990,10.11,forest_area
Oceania,AUS,Australia,1990,134574.65,forest_area
Europe,AUT,Austria,1990,3775.67,forest_area
Asia,AZE,Azerbaijan,1990,944.74,forest_area
Africa,BDI,Burundi,1990,276.48,forest_area
Europe,BEL,Belgium,1990,677.4,forest_area
Africa,BEN,Benin,1990,6980.12,forest_area
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",1990,4.21,forest_area
Africa,BFA,Burkina Faso,1990,8299.11,forest_area
Asia,BGD,Bangladesh,1990,1985.31,forest_area
Europe,BGR,Bulgaria,1990,3327.0,forest_area
Asia,BHR,Bahrain,1990,1.37,forest_area
North and Central America,BHS,Bahamas,1990,509.86,forest_area
Europe,BIH,Bosnia and Herzegovina,1990,2210.0,forest_area
North and Central America,BLM,Saint Barthélemy,1990,0.17,forest_area
Europe,BLR,Belarus,1990,7780.0,forest_area
North and Central America,BLZ,Belize,1990,1579.83,forest_area
North and Central America,BMU,Bermuda,1990,0.78,forest_area
South America,BOL,Bolivia (Plurinational State of),1990,61774.24,forest_area
South America,BRA,Brazil,1990,618443.26,forest_area
North and Central America,BRB,Barbados,1990,6.3,forest_area
Asia,BRN,Brunei Darussalam,1990,413.0,forest_area
Asia,BTN,Bhutan,1990,2506.72,forest_area
Africa,BWA,Botswana,1990,15727.9,forest_area
Africa,CAF,Central African Republic,1990,46434.91,forest_area
North and Central America,CAN,Canada,1990,360777.29,forest_area
Europe,CHE,Switzerland,1990,1153.5,forest_area
South America,CHL,Chile,1990,16810.95,forest_area
Asia,CHN,China,1990,157140.59,forest_area
Africa,CIV,Côte d'Ivoire,1990,8297.1,forest_area
Africa,CMR,Cameroon,1990,22500.0,forest_area
Africa,COD,Democratic Republic of the Congo,1990,160540.18,forest_area
Africa,COG,Congo,1990,22255.0,forest_area
Oceania,COK,Cook Islands,1990,14.91,forest_area
South America,COL,Colombia,1990,65102.8,forest_area
Africa,COM,Comoros,1990,47.16,forest_area
Africa,CPV,Cabo Verde,1990,33.5,forest_area
North and Central America,CRI,Costa Rica,1990,2758.74,forest_area
North and Central America,CUB,Cuba,1990,2312.0,forest_area
North and Central America,CUW,Curaçao,1990,0.07,forest_area
North and Central America,CYM,Cayman Islands,1990,13.13,forest_area
Asia,CYP,Cyprus,1990,161.11,forest_area
