region,iso3,country,1990,2000,2010,2015,2020,2025,abs_change_kha,pct_change,CAGR_%
Asia,CHN,China,157140.59,177000.55,200610.38,210294.25,219098.0,227153.0,70012.41,44.55399461081316,1.0583698612002035
Europe,RUS,Russian Federation,811641.29,812445.37,821501.93,823206.17,828432.2,832629.93,20988.640000000014,2.585950253960098,0.07297175508562681
Asia,IND,India,63938.0,67591.0,69496.0,70828.0,72309.0,72739.0,8801.0,13.764897244205324,0.36914775832181945
North and Central America,CAN,Canada,360777.29,360305.02,365431.1,367994.14,368867.93,368818.85,8041.559999999998,2.2289540453059,0.06300486642301095
North and Central America,USA,United States of America,302450.0,303536.0,308720.0,310095.0,309255.0,308895.0,6445.0,2.130930732352455,0.0602622611876491
Asia,VNM,Viet Nam,9375.96,11784.1,13388.06,14061.86,14677.22,14790.08,5414.120000000001,57.744700276025085,1.3108247288222685
Europe,ESP,Spain,13904.66,17093.93,18566.19,18575.35,18982.06,19132.78,5228.119999999999,37.5997687106337,0.9161110107440251
Europe,FRA,France,14436.0,15288.0,16419.0,16836.0,17348.0,17795.0,3359.0,23.26821834303131,0.5994824099265328
Africa,ZAF,South Africa,19816.56,20692.24,21567.92,22005.76,22443.59,22881.42,3064.859999999997,15.4661555789703,0.4117231913310482
Asia,TUR,Türkiye,19783.48,20148.35,21083.08,21630.3,22220.36,22805.76,3022.279999999999,15.276786490546653,0.40701431864718085
