region,iso3,country,1990,2000,2010,2015,2020,2025,abs_change_kha,pct_change,CAGR_%
South America,BRA,Brazil,618443.26,560720.37,525087.44,515508.93,502366.88,486086.64,-132356.62,-21.401578537698025,-0.685691391509069
Africa,COD,Democratic Republic of the Congo,160540.18,153790.31,147040.44,142017.96,140603.51,139189.05,-21351.130000000005,-13.299555288900264,-0.4069160521432802
Asia,IDN,Indonesia,116334.5,91958.6,96305.2,95027.9,95561.9,95969.3,-20365.199999999997,-17.505727019929598,-0.5483235128833308
Africa,TZA,United Republic of Tanzania,58165.0,54135.0,50105.0,48090.0,45745.0,43400.0,-14765.0,-25.38468150949884,-0.833150922299386
Africa,AGO,Angola,77533.29,76013.08,70912.78,68362.63,65812.48,63262.33,-14270.959999999992,-18.40623556668367,-0.579506753265735
Asia,MMR,Myanmar,39218.48,34868.11,31441.0,29992.44,28543.88,27095.32,-12123.160000000003,-30.911855839390007,-1.0509726939382236
South America,PRY,Paraguay,25679.68,21909.71,18139.75,16369.67,15115.94,14297.39,-11382.29,-44.32411151540829,-1.6592882248935625
South America,PER,Peru,77037.89,74044.52,71051.15,69554.46,68656.45,67159.76,-9878.130000000005,-12.822430624722465,-0.3912984819175347
South America,ARG,Argentina,55989.62,53442.22,49727.45,48444.02,47495.59,46598.0,-9391.620000000003,-16.77385915460759,-0.5232226672173601
Africa,MOZ,Mozambique,41588.91,38918.62,36248.33,34913.19,33578.04,32242.9,-9346.010000000002,-22.472361021243405,-0.7246067773161058
